"BT-474"	"CAL-120"	"CAL-148"	"CAL-51"	"CAL-85-1"	"COLO-824"	"DU-4475"	"EFM-19"	"EFM-192A"	"EFM-192B"	"EFM-192C"	"ETCC-006"	"ETCC-007"	"EVSA-T"	"HCC-1143"	"HCC-1599"	"HCC-1937"	"HDQ-P1"	"HS-578T"	"IPH-926"	"JIMT-1"	"KPL-1"	"MCF-7"	"MDA-MB-231"	"MDA-MB-453"	"MDA-MB-468"	"MFM-223"	"SK-BR-3"	"T-47D"
"unique"	39421943.3791	45841920.3648	56481727.3594	50321949.8744	47256287.4436	47597520.075	47519934.8352	51721876.9974	49419374.4144	51546880.6209	33526148.9272	44260766.6668	42398640.3768	41546788.89	39595894.56	37316567.5071	49280028.0084	40600678.534	29886016.6923	47089483.4235	36798530.7548	41302771.8516	43302710.9841	39277904.8244	40994489.1114	29747331.2304	38783767.0905	39342727.0638	40191059.7216
"short"	244123.914	505960.3872	361987.5022	254965.9336	253176.0712	286078.359	299949.9198	309967.8514	373923.5419	325604.1957	250298.9136	445454.9042	321502.1032	702260.6836	228689.16	223567.9078	259448.8932	350551.994	406425.0282	287457.7881	263282.7273	269952.7572	238396.5599	319266.0042	258253.0038	361290.6738	224717.1192	222904.9692	359147.0424
"sumOther"	1025320.4388	1379458.0368	1535527.6303	1456948.192	1178242.4852	1445188.9515	1352233.245	1416232.4245	1429105.0437	1499914.4097	990766.533	1221556.7476	1325645.6584	1373988.294	1012766.28	1006055.5851	1337942.3316	1283949.472	4150357.2795	1354462.1202	1095103.5179	1276919.3912	1439375.456	1330275.0175	1083815.8848	1864004.0958	1119572.7903	1717193.8368	1211077.236
